name,hq_country,hq_city,apac_office,source,as_of
"Beyond Capital","Jordan","Amman","","CB Insights","2026-09-09"
"Bloomberg Beta","United States","San Francisco","","CB Insights","2026-09-09"
"Brave Capital","United States","San Rafael","","CB Insights","2026-09-09"
"Brookfield","Canada","Toronto","","CB Insights","2026-09-09"
"CRV","United States","Palo Alto","","CB Insights","2026-09-09"
"Castle Island Ventures","United States","Cambridge","","CB Insights","2026-09-09"
"Chengwei Capital","China","Shanghai","","CB Insights","2026-09-09"
"Citigroup","United States","New York","","CB Insights","2026-09-09"
"Carlyle","United States","Washington","","CB Insights","2026-09-09"
"Conviction Capital","United Kingdom","London","","CB Insights","2026-09-09"
"Darwin Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"DataPower Ventures","United States","New York","","CB Insights","2026-09-09"
"EDBI","Singapore","","","CB Insights","2026-09-09"
"EQUIAM","United States","San Francisco","","CB Insights","2026-09-09"
"Emergence Capital","United States","San Mateo","","CB Insights","2026-09-09"
"Evolution VC Partners","United States","New York","","CB Insights","2026-09-09"
"FJ Labs","United States","New York","","CB Insights","2026-09-09"
"FinSight Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"Franklin Venture Partners","United States","San Mateo","","CB Insights","2026-09-09"
"East Asia Edtech 150","United States","New York","","CB Insights","2026-09-09"
"Fundomo","United States","New York","","CB Insights","2026-09-09"
"General Innovation Capital","United States","Miami","","CB Insights","2026-09-09"
"Glade Brook Capital","United States","Greenwich","","CB Insights","2026-09-09"
"Google","United States","Mountain View","","CB Insights","2026-09-09"
"Hanwha Group","South Korea","Seoul","","CB Insights","2026-09-09"
"Harpoon Ventures","United States","San Diego","","CB Insights","2026-09-09"
"HongShan","China","Chaoyang District","","CB Insights","2026-09-09"
"Human Capital","United States","San Francisco","","CB Insights","2026-09-09"
"Jane Street Group","United States","New York","","CB Insights","2026-09-09"
"KKR","United States","New York","","CB Insights","2026-09-09"
"LDV Partners","United States","Palo Alto","","CB Insights","2026-09-09"
"Insight Partners","United States","New York","","CB Insights","2026-09-09"
"Industry Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Lachy Groom","United States","San Francisco","","CB Insights","2026-09-09"
"Lockheed Martin Ventures","United States","Bethesda","","CB Insights","2026-09-09"
"Madrona Venture Group","United States","Seattle","","CB Insights","2026-09-09"
"Mana Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Marc Benioff","United States","San Francisco","","CB Insights","2026-09-09"
"Moonshots Capital","United States","Austin","","CB Insights","2026-09-09"
"Morgan Stanley","United States","New York","","CB Insights","2026-09-09"
"Mubadala Capital","United Arab Emirates","Abu Dhabi","","CB Insights","2026-09-09"
"Mustafa Suleyman","United States","Palo Alto","","CB Insights","2026-09-09"
"NFX","United States","San Francisco","","CB Insights","2026-09-09"
"Neman Ventures","United States","North Miami Beach","","CB Insights","2026-09-09"
"Octant Ventures","United States","","","CB Insights","2026-09-09"
"Palantir","United States","Denver","","CB Insights","2026-09-09"
"Parkway VC","United States","New York","","CB Insights","2026-09-09"
"Peter Thiel","United States","San Francisco","","CB Insights","2026-09-09"
"Playground Global","United States","Palo Alto","","CB Insights","2026-09-09"
"Primavera Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"Prosperity7 Ventures","Saudi Arabia","Dhahran","","CB Insights","2026-09-09"
"QED Investors","United States","Alexandria","","CB Insights","2026-09-09"
"QIA","Qatar","Doha","","CB Insights","2026-09-09"
"RA Capital Management","United States","Boston","","CB Insights","2026-09-09"
"Realm Capital Ventures","United States","Cincinnati","","CB Insights","2026-09-09"
"Riverside Ventures","United States","Dana Point","","CB Insights","2026-09-09"
"SK hynix","South Korea","Gyeonggi-do","","CB Insights","2026-09-09"
"Samsung NEXT","United States","Mountain View","","CB Insights","2026-09-09"
"Scale Asia Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"Scottish Mortgage Investment Trust","United Kingdom","Edinburgh","","CB Insights","2026-09-09"
"SquareOne Capital","United States","Miami","","CB Insights","2026-09-09"
"Sutter Hill Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"TPG","United States","San Francisco","","CB Insights","2026-09-09"
"Tao Capital Partners","United States","San Francisco","","CB Insights","2026-09-09"
"Techstars","United States","New York","","CB Insights","2026-09-09"
"Thiel Fellowship","United States","San Francisco","","CB Insights","2026-09-09"
"U.S. Department of Commerce","United States","Washington","","CB Insights","2026-09-09"
"United States Department of War","United States","Washington","","CB Insights","2026-09-09"
"Venrock","United States","Palo Alto","","CB Insights","2026-09-09"
"basecase capital","United States","San Francisco","","CB Insights","2026-09-09"
"1435 Capital","United States","Skillman","","CB Insights","2026-09-09"
"1517 Fund","United States","Telluride","","CB Insights","2026-09-09"
"776 Capital","United Kingdom","London","","CB Insights","2026-09-09"
"2080 Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"A16Z GAMES","United States","","","CB Insights","2026-09-09"
"ABN AMRO Ventures","Netherlands","Amsterdam","","CB Insights","2026-09-09"
"AFW Partners","South Korea","Seoul","","CB Insights","2026-09-09"
"ARK Invest","United States","New York","","CB Insights","2026-09-09"
"ATW Partners","United States","New York","","CB Insights","2026-09-09"
"AWS EdStart","United States","Seattle","","CB Insights","2026-09-09"
"AWS GovTech Accelerator","United States","Duvall","","CB Insights","2026-09-09"
"Abu Dhabi Investment Council","United Arab Emirates","Abu Dhabi","","CB Insights","2026-09-09"
"Acquinox","Poland","","","CB Insights","2026-09-09"
"Activate Capital","United States","San Francisco","","CB Insights","2026-09-09"
"Addition","United States","New York","","CB Insights","2026-09-09"
"Advaita Capital","United States","Boston","","CB Insights","2026-09-09"
"Advent International","United States","Boston","","CB Insights","2026-09-09"
"Airbus","Netherlands","Leiden","","CB Insights","2026-09-09"
"Align Ventures","United States","New York","","CB Insights","2026-09-09"
"Alkeon Capital Management","United States","New York","","CB Insights","2026-09-09"
"Ally Bridge Group","Hong Kong","Central","","CB Insights","2026-09-09"
"Alpha Compute","Virgin Islands (British)","Tortola","","CB Insights","2026-09-09"
"Alpha Wave Global","United States","New York","","CB Insights","2026-09-09"
"Allen & Company","United States","","","CB Insights","2026-09-09"
"Alpha Venture Partners","United States","New York","","CB Insights","2026-09-09"
"Alphabet","United States","Mountain View","","CB Insights","2026-09-09"
"Alta Park Capital","United States","San Francisco","","CB Insights","2026-09-09"
"Amazon Web Services","United States","Seattle","","CB Insights","2026-09-09"
"Amiti Ventures","Israel","Tel Aviv","","CB Insights","2026-09-09"
"Andra Capital","United States","San Francisco","","CB Insights","2026-09-09"
"Angel Collective Opportunity Fund","United States","Seattle","","CB Insights","2026-09-09"
"AngelList","United States","San Francisco","","CB Insights","2026-09-09"
"Arcapita","Bahrain","Manama","","CB Insights","2026-09-09"
"Archerman Capital","United States","Boston","","CB Insights","2026-09-09"
"Artis Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Asset Management Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"Atomico","United Kingdom","London","","CB Insights","2026-09-09"
"Baidu Ventures","China","Beijing","","CB Insights","2026-09-09"
"Bali Venture Partners","Indonesia","Bali","","CB Insights","2026-09-09"
"Berkshire Hathaway","United States","Omaha","","CB Insights","2026-09-09"
"Big Sky Partners","United States","Sausalito","","CB Insights","2026-09-09"
"Blackbird Ventures","Australia","Surry Hills","","CB Insights","2026-09-09"
"Blockchain Capital","United States","San Francisco","","CB Insights","2026-09-09"
"Blue Owl Capital","United States","New York","","CB Insights","2026-09-09"
"Bosch Ventures","Germany","Gerlingen-Schillerhohe","","CB Insights","2026-09-09"
"Box","United States","Redwood City","","CB Insights","2026-09-09"
"Bpifrance","France","Maisons-Alfort","","CB Insights","2026-09-09"
"Bravo Victor Venture Capital","United States","Chicago","","CB Insights","2026-09-09"
"Breyer Capital","United States","Austin","","CB Insights","2026-09-09"
"Booz Allen","United States","McLean","","CB Insights","2026-09-09"
"Bridgespan VC","United States","New York","","CB Insights","2026-09-09"
"Byers Capital","United States","Menlo Park","","CB Insights","2026-09-09"
"CPP Investments","Canada","Toronto","","CB Insights","2026-09-09"
